tool_id,tool_name,class_name,method_name,description,parameters_schema,return_type,usage_example
cmt_001,Calculate Effect Size,CausalMathTools,calculate_effect_size,"Calculate Cohen's d effect size between treatment and control groups deterministically. Useful for measuring the magnitude of a causal effect.","{'treatment_mean': 'float', 'control_mean': 'float', 'pooled_std': 'float'}","float","CausalMathTools.calculate_effect_size(treatment_mean=10.5, control_mean=8.2, pooled_std=2.1)"
cmt_002,Calculate Confidence Interval,CausalMathTools,calculate_confidence_interval,"Calculate proper confidence interval for a mean given standard error and confidence level. Essential for reporting uncertainty.","{'mean': 'float', 'std_error': 'float', 'confidence_level': 'float=0.95'}","Tuple[float, float]","CausalMathTools.calculate_confidence_interval(mean=10.0, std_error=1.5)"
cmt_003,Bayesian Update,CausalMathTools,bayes_update,"Perform Bayesian update of probability given prior and likelihoods. Fundamental for updating causal beliefs with new evidence.","{'prior': 'float', 'likelihood_h1': 'float', 'likelihood_h0': 'float'}","float","CausalMathTools.bayes_update(prior=0.3, likelihood_h1=0.8, likelihood_h0=0.2)"
cmt_004,Calculate Correlation,CausalMathTools,calculate_correlation,"Calculate Pearson correlation coefficient and p-value. Determines strength of linear relationship between variables.","{'x': 'List[float]', 'y': 'List[float]'}","Tuple[float, float]","CausalMathTools.calculate_correlation(x=[1,2,3], y=[2,4,6])"
cmt_005,Partial Correlation,CausalMathTools,partial_correlation,"Calculate partial correlation between x and y controlling for z. key for identifying direct causal links by removing confounder influence.","{'x': 'np.ndarray', 'y': 'np.ndarray', 'z': 'np.ndarray'}","float","CausalMathTools.partial_correlation(x=x_array, y=y_array, z=z_control)"
cmt_006,Power Analysis,CausalMathTools,power_analysis,"Calculate statistical power for hypothesis testing given effect size and sample size. Ensures experiments are properly powered.","{'effect_size': 'float', 'alpha': 'float=0.05', 'n': 'int=100'}","float","CausalMathTools.power_analysis(effect_size=0.5, n=150)"
gtt_001,Find Top K Paths,GraphTraversalTools,find_top_k_paths,"Find the top k weighted paths between source and target nodes in a causal graph. Identifies most likely causal chains.","{'graph': 'nx.DiGraph', 'source': 'str', 'target': 'str', 'k': 'int=5', 'weight_attr': 'str=weight'}","List[Tuple[List[str], float]]","GraphTraversalTools.find_top_k_paths(graph=G, source='A', target='B', k=3)"
gtt_002,Find Strongest Path,GraphTraversalTools,find_strongest_path,"Identify the single strongest path between two nodes. Used for primary causal mechanism identification.","{'graph': 'nx.DiGraph', 'source': 'str', 'target': 'str', 'weight_attr': 'str=weight'}","Optional[Tuple[List[str], float]]","GraphTraversalTools.find_strongest_path(graph=G, source='A', target='B')"
gtt_003,Detect Contradictions,GraphTraversalTools,detect_contradictions,"Detect contradictory edges (e.g., positive vs negative) between the same nodes in a graph. Flags logical inconsistencies in the causal model.","{'graph': 'nx.DiGraph', 'edge_type_attr': 'str=edge_type'}","List[Dict]","GraphTraversalTools.detect_contradictions(graph=G)"
gtt_004,Calculate Node Centrality,GraphTraversalTools,calculate_node_centrality,"Calculate betweenness centrality to identify critical nodes or bottlenecks. Highlights hubs of causal influence.","{'graph': 'nx.DiGraph'}","Dict[str, float]","GraphTraversalTools.calculate_node_centrality(graph=G)"
