procedure_id,procedure_name,step_sequence,constraint_type,trigger_context,required_outputs,enforcement_level,suggested_tool_ids,embedding_text
PROC001,Basic Causal Analysis,"1. State the outcome of interest clearly|2. List all plausible causes (brainstorm)|3. Identify potential confounders|4. Consider counterfactuals|5. Evaluate temporal ordering|6. Assess mechanism plausibility|7. Ask: What evidence would change my conclusion?",mandatory,causal_claim_detected,"{'outcome_statement': 'str', 'candidate_causes': 'List[str]', 'confounders': 'List[str]', 'counterfactual_analysis': 'str'}",strict,"vt_001,vt_004,hr_001","Basic causal analysis procedure for evaluating causal claims. Identifies outcomes, candidate causes, confounders, and counterfactuals. Use when a causal claim is detected to ensure rigorous evaluation of temporal ordering and mechanism plausibility."
PROC002,Correlation Investigation,"1. Acknowledge correlation observed|2. DO NOT conclude causation|3. Generate alternative explanations|4. Identify common causes|5. Check for confounders|6. Consider reverse causation|7. Propose tests to distinguish hypotheses",mandatory,correlation_pattern,"{'correlation_acknowledgment': 'str', 'alternative_hypotheses': 'List[str]', 'distinguishing_tests': 'List[str]'}",strict,"cmt_004,cmt_005,hr_002","Correlation investigation procedure that prevents premature causal conclusions. Generates alternative explanations, identifies common causes and confounders, considers reverse causation, and proposes distinguishing tests. Triggered when correlation pattern is detected."
PROC003,Intervention Design,"1. Define intervention precisely|2. Specify comparison/control condition|3. Identify randomization strategy|4. List potential confounders to control|5. Define outcomes and measurement timing|6. Consider blinding requirements|7. Specify success criteria",recommended,intervention_planning,"{'intervention_spec': 'str', 'control_spec': 'str', 'randomization_plan': 'str', 'outcome_measures': 'List[str]'}",moderate,"cmt_006,vt_001","Intervention design procedure for planning causal experiments. Defines intervention and control conditions, randomization strategy, confounders to control, outcome measures, blinding requirements, and success criteria. Use when planning interventions or RCTs."
PROC004,Observational Study Evaluation,"1. Identify study design (cohort/case-control/cross-sectional)|2. List measured confounders|3. Identify unmeasured confounders|4. Assess selection bias risk|5. Evaluate temporal ambiguity|6. Check for reverse causation|7. Rate evidence strength",mandatory,observational_data_analysis,"{'design_type': 'str', 'confounder_list': 'List[str]', 'bias_assessment': 'Dict', 'evidence_rating': 'float'}",strict,"cmt_005,hr_001,vt_004","Observational study evaluation procedure for assessing non-experimental evidence. Identifies study design, measured and unmeasured confounders, selection bias risk, temporal ambiguity, and reverse causation. Rates evidence strength deterministically."
PROC005,Counterfactual Reasoning,"1. State the factual: X happened and Y occurred|2. State the counterfactual: If X had not happened, would Y still occur?|3. Identify assumptions required for counterfactual|4. Assess plausibility of assumptions|5. Consider alternative counterfactuals|6. Quantify uncertainty",mandatory,causal_attribution,"{'factual_statement': 'str', 'counterfactual_statement': 'str', 'assumptions': 'List[str]', 'plausibility_score': 'float'}",strict,"cmt_003,hr_001","Counterfactual reasoning procedure for causal attribution. States factual and counterfactual scenarios, identifies required assumptions, assesses plausibility, considers alternatives, and quantifies uncertainty using Bayesian methods."
PROC006,Mechanism Elucidation,"1. State proposed causal relationship (X → Y)|2. Describe each mechanistic step (X → M1 → M2 → Y)|3. Verify each step with domain knowledge|4. Identify weakest link in chain|5. Propose tests for each step|6. Assess overall plausibility",recommended,mechanism_inquiry,"{'causal_chain': 'List[str]', 'step_evidence': 'Dict', 'weak_points': 'List[str]', 'mechanistic_tests': 'List[str]'}",moderate,"gtt_001,gtt_002,gtt_005","Mechanism elucidation procedure for understanding causal pathways. Decomposes causal relationship into mechanistic steps, verifies with domain knowledge, identifies weakest links, proposes tests, and assesses overall plausibility using graph traversal."
PROC007,Confounder Identification,"1. List all variables associated with exposure|2. List all variables associated with outcome|3. Identify overlap (potential confounders)|4. Draw directed acyclic graph (DAG)|5. Identify minimum sufficient adjustment set|6. Check for colliders (do NOT adjust for these)",mandatory,multivariate_analysis,"{'exposure_correlates': 'List[str]', 'outcome_correlates': 'List[str]', 'DAG_structure': 'Dict', 'adjustment_set': 'List[str]'}",strict,"cmt_005,vt_003,gtt_004","Confounder identification procedure for multivariate causal analysis. Lists exposure and outcome correlates, identifies potential confounders, constructs DAG, determines minimum sufficient adjustment set, and identifies colliders to avoid conditioning on."
PROC008,Effect Size Evaluation,"1. Quantify the observed association|2. Compare to domain-typical effects|3. Assess biological/physical plausibility of magnitude|4. Consider measurement error direction|5. Calculate confidence intervals|6. Interpret practical significance|7. Avoid overinterpretation of small effects",recommended,quantitative_assessment,"{'effect_magnitude': 'float', 'plausibility_check': 'str', 'confidence_bounds': 'Tuple[float,float]', 'practical_significance': 'str'}",moderate,"cmt_001,cmt_002,cmt_006","Effect size evaluation procedure for quantitative causal assessment. Calculates Cohen's d effect size, compares to domain benchmarks, assesses plausibility, computes confidence intervals, and interprets practical significance. Prevents overinterpretation of small effects."
PROC009,Temporal Analysis,"1. Establish timeline of all events|2. Verify cause precedes effect|3. Identify appropriate lag period|4. Check for reverse causation|5. Consider feedback loops|6. Map temporal sequence visually|7. Identify temporal ambiguities",mandatory,timeline_available,"{'event_timeline': 'List[Dict]', 'temporal_order': 'bool', 'lag_period': 'Tuple[float,float]', 'ambiguities': 'List[str]'}",strict,"vt_004,gtt_003","Temporal analysis procedure for validating cause-effect ordering. Establishes event timeline, verifies temporal precedence, identifies appropriate lag periods, checks for reverse causation and feedback loops, and flags temporal ambiguities."
PROC010,Replication Assessment,"1. Count independent replications|2. Assess heterogeneity across studies|3. Check for publication bias|4. Evaluate methodological quality|5. Identify contradictory findings|6. Consider context dependence|7. Weight evidence by quality",recommended,multiple_studies,"{'replication_count': 'int', 'heterogeneity_score': 'float', 'quality_ratings': 'List[float]', 'synthesis': 'str'}",moderate,"hr_001,hr_002,ms_001","Replication assessment procedure for multi-study evidence synthesis. Counts independent replications, assesses heterogeneity, checks publication bias, evaluates methodological quality, identifies contradictions, and weights evidence by quality using scoring tools."
