tool_id,tool_name,class_name,method_name,description,parameters_schema,return_type,usage_example,command,embedding_text,graph_op,graph_payload,graph_id,graph_logic,edge_source,edge_target,edge_type,static_validator,dynamic_test_runner
cmt_001,Calculate Effect Size,CausalMathLite,calculateEffectSize,"Calculate Cohen's d effect size between treatment and control groups.","{""treatment_mean"": ""float"", ""control_mean"": ""float"", ""pooled_std"": ""float""}","float","runCausalMath('effect_size', {treatment_mean: 10.5, control_mean: 8.2, pooled_std: 2.1})","node causal_math.js effect_size '{""treatment_mean"": 10.5, ""control_mean"": 8.2, ""pooled_std"": 2.1}'","Calculate Cohen's d effect size for measuring causal impact magnitude. Deterministic math tool for treatment vs control analysis.",SET_PROPERTY,"{""type"":""tool""}",cmt_001,MERGE,,,,,
cmt_002,Calculate Confidence Interval,CausalMathLite,calculateConfidenceInterval,"Calculate confidence interval for a mean.","{""mean"": ""float"", ""std_error"": ""float"", ""confidence_level"": ""float=0.95""}","Array[float]","runCausalMath('confidence_interval', {mean: 10.0, std_error: 1.5, confidence_level: 0.95})","node causal_math.js confidence_interval '{""mean"": 10.0, ""std_error"": 1.5, ""confidence_level"": 0.95}'","Calculate statistical confidence intervals for uncertainty quantification. Essential for reporting causal reliability.",SET_PROPERTY,"{""type"":""tool""}",cmt_002,MERGE,,,,,
cmt_003,Bayesian Update,CausalMathLite,bayesUpdate,"Perform Bayesian update of probability given prior and likelihoods.","{""prior"": ""float"", ""likelihood_h1"": ""float"", ""likelihood_h0"": ""float""}","float","runCausalMath('bayes_update', {prior: 0.3, likelihood_h1: 0.8, likelihood_h0: 0.2})","node causal_math.js bayes_update '{""prior"": 0.3, ""likelihood_h1"": 0.8, ""likelihood_h0"": 0.2}'","Perform Bayesian updating of causal beliefs using new evidence. Fundamental probabilistic logic tool.",SET_PROPERTY,"{""type"":""tool""}",cmt_003,MERGE,,,,,
cmt_004,Calculate Correlation,CausalMathLite,calculateCorrelation,"Calculate Pearson correlation coefficient and p-value.","{""x"": ""Array[float]"", ""y"": ""Array[float]""}","Object","runCausalMath('correlation', {x: [1,2,3], y: [2,4,6]})","node causal_math.js correlation '{""x"": [1,2,3], ""y"": [2,4,6]}'","Calculate Pearson correlation coefficient and p-value. Determines strength of linear relationship between variables.",SET_PROPERTY,"{""type"":""tool""}",cmt_004,MERGE,,,,,
cmt_005,Partial Correlation,CausalMathLite,partialCorrelation,"Calculate partial correlation between x and y controlling for z.","{""x"": ""Array[float]"", ""y"": ""Array[float]"", ""z"": ""Array[float]""}","float","runCausalMath('partial_correlation', {x: [1,2,3], y: [2,4,6], z: [1,1,1]})","node causal_math.js partial_correlation '{""x"": [1,2,3], ""y"": [2,4,6], ""z"": [1,1,1]}'","Calculate partial correlation between x and y controlling for z. key for identifying direct causal links by removing confounder influence.",SET_PROPERTY,"{""type"":""tool""}",cmt_005,MERGE,,,,,
cmt_006,Power Analysis,CausalMathLite,powerAnalysis,"Calculate statistical power for hypothesis testing given effect size and sample size.","{""effect_size"": ""float"", ""alpha"": ""float=0.05"", ""n"": ""int=100""}","float","runCausalMath('power_analysis', {effect_size: 0.5, n: 150})","node causal_math.js power_analysis '{""effect_size"": 0.5, ""n"": 150}'","Calculate statistical power for hypothesis testing given effect size and sample size. Ensures experiments are properly powered.",SET_PROPERTY,"{""type"":""tool""}",cmt_006,MERGE,,,,,
cmt_007,Sensitivity Analysis,CausalMathLite,calculateTippingPoint,"Calculates robustness against unmeasured confounders (Tipping Point).","{""observed_effect"": ""float"", ""standard_error"": ""float"", ""alpha"": ""float=0.05""}","Object","runCausalMath('tipping_point', {observed_effect: 2.5, standard_error: 0.4})","node causal_math.js tipping_point '{""observed_effect"": 2.5, ""standard_error"": 0.4}'","Execute sensitivity analysis to find the tipping point of a causal claim. Measures robustness against unmeasured confounding bias.",SET_PROPERTY,"{""type"":""tool""}",cmt_007,MERGE,,,,,
gtt_001,Find Top K Paths,GraphTraversalTools,findTopKPaths,"Find the top k weighted paths between source and target nodes.","{""graph"": ""Object"", ""source"": ""str"", ""target"": ""str"", ""k"": ""int=5""}","Array[Object]","runCausalMath('top_k_paths', {graph: G, source: 'A', target: 'B', k: 3})","node causal_math.js top_k_paths '{""graph"": {}, ""source"": ""A"", ""target"": ""B""}'","Find the top k weighted paths between source and target nodes in a causal graph. Identifies most likely causal chains.",SET_PROPERTY,"{""type"":""tool""}",gtt_001,MERGE,,,,,
gtt_002,Find Strongest Path,GraphTraversalTools,findStrongestPath,"Identify the single strongest path between two nodes.","{""graph"": ""Object"", ""source"": ""str"", ""target"": ""str""}","Object","runCausalMath('strongest_path', {graph: G, source: 'A', target: 'B'})","node causal_math.js strongest_path '{""graph"": {}, ""source"": ""A"", ""target"": ""B""}'","Identify the single strongest path between two nodes. Used for primary causal mechanism identification.",SET_PROPERTY,"{""type"":""tool""}",gtt_002,MERGE,,,,,
gtt_003,Detect Contradictions,GraphTraversalTools,detectContradictions,"Detect contradictory edges (positive vs negative) between the same nodes.","{""graph"": ""Object""}","Array[Object]","runCausalMath('contradictions', {graph: G})","node causal_math.js contradictions '{""graph"": {}}'","Detect contradictory edges (e.g., positive vs negative) between the same nodes in a graph. Flags logical inconsistencies in the causal model.",SET_PROPERTY,"{""type"":""tool""}",gtt_003,MERGE,,,,,
gtt_004,Calculate Node Centrality,GraphTraversalTools,calculateNodeCentrality,"Calculate betweenness centrality to identify critical nodes.","{""graph"": ""Object""}","Object","runCausalMath('centrality', {graph: G})","node causal_math.js centrality '{""graph"": {}}'","Calculate betweenness centrality to identify critical nodes or bottlenecks. Highlights hubs of causal influence.",SET_PROPERTY,"{""type"":""tool""}",gtt_004,MERGE,,,,,
gtt_005,Identify Bottlenecks,GraphTraversalTools,identifyBottlenecks,"Identify nodes that appear in all paths from source to target.","{""graph"": ""Object"", ""source"": ""str"", ""target"": ""str""}","Array[str]","runCausalMath('bottlenecks', {graph: G, source: 'start', target: 'end'})","node causal_math.js bottlenecks '{""graph"": {}, ""source"": ""start"", ""target"": ""end""}'","Identify bottleneck nodes that appear in all paths from source to target. Critical mediators that control the flow of causality.",SET_PROPERTY,"{""type"":""tool""}",gtt_005,MERGE,,,,,
hr_001,Score Hypothesis,HypothesisRanking,scoreHypothesis,"Score a hypothesis based on evidence quality and weight.","{""hypothesis"": ""Object"", ""evidence_list"": ""Array""}","float","runCausalMath('score_hypothesis', {hypothesis: h1, evidence_list: ev_list})","node causal_math.js score_hypothesis '{""hypothesis"": {}, ""evidence_list"": []}'","Score a single hypothesis based on evidence quality, weight, and penalties. deterministic scoring engine.",SET_PROPERTY,"{""type"":""tool""}",hr_001,MERGE,,,,,
hr_002,Rank Hypotheses,HypothesisRanking,rankHypotheses,"Rank multiple hypotheses based on scores.","{""hypotheses"": ""Array"", ""evidence_map"": ""Object""}","Array[Object]","runCausalMath('rank_hypotheses', {hypotheses: h_list, evidence_map: e_map})","node causal_math.js rank_hypotheses '{""hypotheses"": [], ""evidence_map"": {}}'","Rank multiple hypotheses deterministically based on evidence scores. Sorting logic for competing causal explanations.",SET_PROPERTY,"{""type"":""tool""}",hr_002,MERGE,,,,,
hr_003,Bradford Hill Criteria,HypothesisRanking,applyBradfordHillCriteria,"Evaluate casual strength using Bradford Hill criteria.","{""strength"": ""float"", ""consistency"": ""float"", ""specificity"": ""float"", ""temporality"": ""float"", ""gradient"": ""float"", ""plausibility"": ""float"", ""coherence"": ""float"", ""experiment"": ""float"", ""analogy"": ""float""}","float","runCausalMath('bradford_hill', {strength: 0.8, temporality: 1.0})","node causal_math.js bradford_hill '{""strength"": 0.8, ""temporality"": 1.0}'","Evaluate causal strength using Bradford Hill criteria like temporality, specificity, and coherence. The gold standard for causal inference validation.",SET_PROPERTY,"{""type"":""tool""}",hr_003,MERGE,,,,,
vt_001,Validate Plan Completeness,ValidationTools,validatePlanCompleteness,"Check if a plan contains all required fields.","{""plan"": ""Object"", ""required_fields"": ""Array[str]""}","Object","runCausalMath('validate_plan', {plan: my_plan, required_fields: ['goal', 'steps']})","node causal_math.js validate_plan '{""plan"": {}, ""required_fields"": [""goal""]}'","Check if a reasoning plan contains all required fields. Ensures structural integrity of cognitive artifacts.",SET_PROPERTY,"{""type"":""tool""}",vt_001,MERGE,,,,,
vt_002,Enforce Token Budget,ValidationTools,enforceTokenBudget,"Truncate text to fit within a token budget.","{""text"": ""str"", ""max_tokens"": ""int""}","str","runCausalMath('token_budget', {text: long_text, max_tokens: 1000})","node causal_math.js token_budget '{""text"": ""long_text"", ""max_tokens"": 1000}'","Truncate text to fit within a specific token budget. Prevents context overflow in LLM calls.",SET_PROPERTY,"{""type"":""tool""}",vt_002,MERGE,,,,,
vt_003,Check DAG Validity,ValidationTools,checkDagValidity,"Verify if a graph is a valid DAG (no cycles).","{""graph"": ""Object""}","Object","runCausalMath('dag_validity', {graph: G})","node causal_math.js dag_validity '{""graph"": {}}'","Verify if a graph is a valid Directed Acyclic Graph (DAG) by checking for cycles. logic gate for causal diagrams.",SET_PROPERTY,"{""type"":""tool""}",vt_003,MERGE,,,,,
vt_004,Verify Temporal Consistency,ValidationTools,verifyTemporalConsistency,"Check that causes precede effects in timeline.","{""events"": ""Array[Object]""}","Object","runCausalMath('temporal_consistency', {events: event_log})","node causal_math.js temporal_consistency '{""events"": []}'","Check that causes chronologically precede their effects in a list of events. Enforces causality's primary law.",SET_PROPERTY,"{""type"":""tool""}",vt_004,MERGE,,,,,
vt_005,Static Code Validator,ValidationTools,validateWithAntiPatterns,"Checks the code text against the Anti-Patterns CSV (AST analysis).","{""code"": ""string""}","Array[Object]","runCausalMath('static_validator', {code: '...'})","node causal_math.js static_validator '{""code"": ""...""}'","Detects code anti-patterns using AST analysis against the registry. High-signal analysis of code safety.",SET_PROPERTY,"{""type"":""tool""}",vt_005,MERGE,,,,,
ms_001,Score Memory Relevance,MemoryScoring,scoreMemoryRelevance,"Score memory relevance using embeddings and recency.","{""memory_embedding"": ""Array"", ""query_embedding"": ""Array"", ""recency_weight"": ""float""}","float","runCausalMath('memory_relevance', {memory_embedding: emb1, query_embedding: q_emb})","node causal_math.js memory_relevance '{""memory_embedding"": [], ""query_embedding"": []}'","Score memory relevance using embeddings, recency, and importance. Deterministic retrieval grading.",SET_PROPERTY,"{""type"":""tool""}",ms_001,MERGE,,,,,
ms_002,Rank Memories,MemoryScoring,rankMemories,"Rank memories by relevance.","{""memories"": ""Array"", ""query_embedding"": ""Array"", ""top_k"": ""int""}","Array[Object]","runCausalMath('rank_memories', {memories: all_mems, query_embedding: q_emb})","node causal_math.js rank_memories '{""memories"": [], ""query_embedding"": []}'","Rank memories by relevance and return top-k. Deterministic sorting for context retrieval.",SET_PROPERTY,"{""type"":""tool""}",ms_002,MERGE,,,,,
